"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Process","GO:0048519","Negative regulation of biological process",7,1,1.2,0.74460534583131,"phoU",1
"Process","GO:0097237","Cellular response to toxic substance",7,1,1.2,0.74460534583131,"trxB",1
"Process","GO:0098754","Detoxification",7,1,1.2,0.74460534583131,"trxB",1
"Process","GO:0098869","Cellular oxidant detoxification",7,1,1.2,0.74460534583131,"trxB",1
"Process","GO:1901136","Carbohydrate derivative catabolic process",7,1,1.2,0.74460534583131,"RS04405",1
"Process","GO:1990748","Cellular detoxification",7,1,1.2,0.74460534583131,"trxB",1
"Component","GO:1990204","Oxidoreductase complex",7,1,1.2,0.74460534583131,"RS02580",1
"Function","GO:0015035","Protein-disulfide reductase activity",7,1,1.2,0.74460534583131,"trxB",1
"Function","GO:0016209","Antioxidant activity",7,1,1.2,0.74460534583131,"trxB",1
"Function","GO:0022884","Macromolecule transmembrane transporter activity",7,1,1.2,0.74460534583131,"lptC",1
"Keyword","KW-0288","FMN",7,1,1.2,0.74460534583131,"aroC",1
"Keyword","KW-0998","Cell outer membrane",7,1,1.2,0.74460534583131,"RS02220",1
"InterPro","IPR006073","GTP binding domain",7,1,1.2,0.74460534583131,"yihA",1
"InterPro","IPR011761","ATP-grasp fold",7,1,1.2,0.74460534583131,"RS01015",1
"InterPro","IPR011990","Tetratricopeptide-like helical domain superfamily",7,1,1.2,0.74460534583131,"RS01790",1
"InterPro","IPR013766","Thioredoxin domain",7,1,1.2,0.74460534583131,"RS04515",1
"Pfam","PF01926","50S ribosome-binding GTPase",7,1,1.2,0.74460534583131,"yihA",1
"Function","GO:0016879","Ligase activity, forming carbon-nitrogen bonds",34,5,6,0.745947072198802,"RS01015;RS01425;RS02550;RS04605;murD",1
"Process","GO:0006418","tRNA aminoacylation for protein translation",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Process","GO:0043038","Amino acid activation",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Process","GO:0043039","tRNA aminoacylation",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Process","GO:0044036","Cell wall macromolecule metabolic process",21,3,3.7,0.746680972116677,"RS04605;murA;murD",1
"Function","GO:0004812","aminoacyl-tRNA ligase activity",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Function","GO:0016875","Ligase activity, forming carbon-oxygen bonds",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Keyword","KW-0030","Aminoacyl-tRNA synthetase",21,3,3.7,0.746680972116677,"cysS;gltX;serS",1
"Process","GO:0009260","Ribonucleotide biosynthetic process",47,7,8.3,0.753102962693165,"RS01015;RS02550;RS02575;RS02580;guaB;pdhA;purE",1
"Component","GO:1902494","Catalytic complex",28,4,4.9,0.757841847663831,"RS01920;RS02580;dnaN;rpoZ",1
"Keyword","KW-0520","NAD",28,4,4.9,0.757841847663831,"fabI;fabI;guaB;lpdA",1
"Process","GO:0008610","Lipid biosynthetic process",41,6,7.2,0.760090568796701,"RS02820;RS06020;fabA;fabB;fabI;fabI",1
"Process","GO:0034645","Cellular macromolecule biosynthetic process",121,19,21.4,0.763089574430894,"RS04605;RS04825;RS06020;cysS;def;efp;frr;gltX;murA;murD;rplF;rplN;rplX;rpmH;rpsB;rpsO;serS;smpB;tsf",1
"Process","GO:0006518","Peptide metabolic process",103,16,18.2,0.76430564706069,"RS04825;RS05100;cysS;def;efp;frr;gltX;rplF;rplN;rplX;rpmH;rpsB;rpsO;serS;smpB;tsf",1
"Process","GO:0006412","Translation",97,15,17.1,0.765218618978654,"RS04825;cysS;def;efp;frr;gltX;rplF;rplN;rplX;rpmH;rpsB;rpsO;serS;smpB;tsf",1
"Function","GO:0003723","RNA binding",85,13,15,0.768083563280314,"RS00365;RS01395;RS01645;RS04045;RS04825;RS06685;gltX;rnpA;rplF;rplN;rplX;rpsO;smpB",1
"Process","GO:0022607","Cellular component assembly",35,5,6.2,0.769563662217264,"RS02670;RS02970;RS03655;ccmA;yihA",1
"Keyword","KW-0418","Kinase",35,5,6.2,0.769563662217264,"RS00690;RS02065;RS02110;RS02255;RS06480",1
"Process","GO:0046390","Ribose phosphate biosynthetic process",48,7,8.5,0.77327177557678,"RS01015;RS02550;RS02575;RS02580;guaB;pdhA;purE",1
"Process","GO:0006220","Pyrimidine nucleotide metabolic process",15,2,2.7,0.773555456352249,"RS02550;RS04480",1
"Process","GO:0009142","Nucleoside triphosphate biosynthetic process",15,2,2.7,0.773555456352249,"RS02550;RS04480",1
"Process","GO:0065003","Protein-containing complex assembly",15,2,2.7,0.773555456352249,"RS02670;ccmA",1
"Process","GO:1901565","Organonitrogen compound catabolic process",15,2,2.7,0.773555456352249,"RS04405;lon",1
"Component","GO:0030312","External encapsulating structure",15,2,2.7,0.773555456352249,"RS00640;RS02220",1
"Component","GO:1990904","Ribonucleoprotein complex",15,2,2.7,0.773555456352249,"rplN;rpsB",1
"Process","GO:0006400","tRNA modification",22,3,3.9,0.775657874896499,"RS05905;trhO;trmD",1
"Process","GO:0036211","Protein modification process",22,3,3.9,0.775657874896499,"RS02065;RS02110;RS06480",1
"Process","GO:0045229","External encapsulating structure organization",22,3,3.9,0.775657874896499,"RS04605;murA;murD",1
"Process","GO:0071554","Cell wall organization or biogenesis",22,3,3.9,0.775657874896499,"RS04605;murA;murD",1
"Function","GO:0016887","ATP hydrolysis activity",22,3,3.9,0.775657874896499,"RS02365;clpB;lon",1
"Process","GO:0044255","Cellular lipid metabolic process",42,6,7.4,0.781107026927666,"RS02820;RS06020;fabA;fabB;fabI;fabI",1
"Process","GO:0044271","Cellular nitrogen compound biosynthetic process",212,34,37.5,0.784236288979536,"RS01015;RS02365;RS02455;RS02550;RS02575;RS02580;RS03030;RS04480;RS04825;RS05290;RS06020;cysS;def;dnaN;efp;frr;gltX;guaB;murA;murD;pdhA;purE;ribB;rplF;rplN;rplX;rpmH;rpoH;rpoZ;rpsB;rpsO;serS;smpB;tsf",1
"Process","GO:0006865","Amino acid transport",8,1,1.4,0.790013962141086,"RS05835",1
"Process","GO:0009129","Pyrimidine nucleoside monophosphate metabolic process",8,1,1.4,0.790013962141086,"RS04480",1
"Process","GO:0009130","Pyrimidine nucleoside monophosphate biosynthetic process",8,1,1.4,0.790013962141086,"RS04480",1
"Process","GO:0019439","Aromatic compound catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Process","GO:0032392","DNA geometric change",8,1,1.4,0.790013962141086,"RS02365",1
"Process","GO:0032508","DNA duplex unwinding",8,1,1.4,0.790013962141086,"RS02365",1
"Process","GO:0034655","Nucleobase-containing compound catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Process","GO:0042398","Cellular modified amino acid biosynthetic process",8,1,1.4,0.790013962141086,"murD",1
"Process","GO:0044265","Cellular macromolecule catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Process","GO:0044270","Cellular nitrogen compound catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Process","GO:0046700","Heterocycle catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Process","GO:0070887","Cellular response to chemical stimulus",8,1,1.4,0.790013962141086,"trxB",1
"Process","GO:1901361","Organic cyclic compound catabolic process",8,1,1.4,0.790013962141086,"RS01920",1
"Component","GO:0015934","Large ribosomal subunit",8,1,1.4,0.790013962141086,"rplN",1
"Function","GO:0003678","DNA helicase activity",8,1,1.4,0.790013962141086,"RS02365",1
"Function","GO:0008483","Transaminase activity",8,1,1.4,0.790013962141086,"RS01315",1
"Function","GO:0008649","rRNA methyltransferase activity",8,1,1.4,0.790013962141086,"rsmH",1
"Function","GO:0015291","Secondary active transmembrane transporter activity",8,1,1.4,0.790013962141086,"nhaA",1
"Function","GO:0061783","Peptidoglycan muralytic activity",8,1,1.4,0.790013962141086,"RS04405",1
"Function","GO:0140102","Catalytic activity, acting on a rRNA",8,1,1.4,0.790013962141086,"rsmH",1
