"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"KEGG","bbk00520","Amino sugar and nucleotide sugar metabolism",9,2,2.2,0.692579553894936,"RS05750;glmS",1
"InterPro","IPR009000","Translation protein, beta-barrel domain superfamily",9,2,2.2,0.692579553894936,"RS06615;infB",1
"Process","GO:0009057","Macromolecule catabolic process",14,3,3.5,0.710673894996854,"RS02190;flbT;rnhA",1
"Function","GO:0003924","GTPase activity",14,3,3.5,0.710673894996854,"RS06615;infB;mnmE",1
"Function","GO:0008237","Metallopeptidase activity",14,3,3.5,0.710673894996854,"RS06160;pepN;radC",1
"KEGG","bbk03030","DNA replication",14,3,3.5,0.710673894996854,"holA;polA;rnhA",1
"Process","GO:0060255","Regulation of macromolecule metabolic process",55,12,13.6,0.741487440790087,"RS00625;RS01230;RS04165;RS06615;dnaA;ettA;flbT;hflC;infA;infB;prfA;rsfS",1
"Keyword","KW-0949","S-adenosyl-L-methionine",24,5,5.9,0.74410772960353,"RS01940;miaB;rlmH;rsmA;thiC",1
"Process","GO:0006820","Anion transport",10,2,2.5,0.749578810643362,"RS05350;pstA",1
"Process","GO:0009132","Nucleoside diphosphate metabolic process",10,2,2.5,0.749578810643362,"gmk;ndk",1
"KEGG","bbk00730","Thiamine metabolism",10,2,2.5,0.749578810643362,"RS02145;thiC",1
"KEGG","bbk03018","RNA degradation",10,2,2.5,0.749578810643362,"RS03870;RS04285",1
"KEGG","bbk00250","Alanine, aspartate and glutamate metabolism",15,3,3.7,0.75652100007505,"RS06625;glmS;purQ",1
"Process","GO:0006259","DNA metabolic process",60,13,14.8,0.756575686616838,"RS00540;RS00915;RS03525;addA;dnaA;holA;nrdF;parE;polA;recF;recG;recO;topA",1
"KEGG","bbk01120","Microbial metabolism in diverse environments",60,13,14.8,0.756575686616838,"RS00465;RS05750;RS06280;accC;acnA;gltA;gltX;glyA;lysA;sdhA;sdhC;sdhD;tkt",1
"Process","GO:0001522","Pseudouridine synthesis",5,1,1.2,0.758040358585156,"truB",1
"Process","GO:0006026","Aminoglycan catabolic process",5,1,1.2,0.758040358585156,"RS02190",1
"Process","GO:0006027","Glycosaminoglycan catabolic process",5,1,1.2,0.758040358585156,"RS02190",1
"Process","GO:0006544","Glycine metabolic process",5,1,1.2,0.758040358585156,"glyA",1
"Process","GO:0006730","One-carbon metabolic process",5,1,1.2,0.758040358585156,"glyA",1
"Process","GO:0006772","Thiamine metabolic process",5,1,1.2,0.758040358585156,"thiC",1
"Process","GO:0006817","Phosphate ion transport",5,1,1.2,0.758040358585156,"pstA",1
"Process","GO:0009148","Pyrimidine nucleoside triphosphate biosynthetic process",5,1,1.2,0.758040358585156,"ndk",1
"Process","GO:0009253","Peptidoglycan catabolic process",5,1,1.2,0.758040358585156,"RS02190",1
"Process","GO:0009262","Deoxyribonucleotide metabolic process",5,1,1.2,0.758040358585156,"nrdF",1
"Process","GO:0034308","Primary alcohol metabolic process",5,1,1.2,0.758040358585156,"thiC",1
"Process","GO:0042723","Thiamine-containing compound metabolic process",5,1,1.2,0.758040358585156,"thiC",1
"Process","GO:0042724","Thiamine-containing compound biosynthetic process",5,1,1.2,0.758040358585156,"thiC",1
"Process","GO:0044262","Cellular carbohydrate metabolic process",5,1,1.2,0.758040358585156,"waaA",1
"Process","GO:0046653","Tetrahydrofolate metabolic process",5,1,1.2,0.758040358585156,"glyA",1
"Process","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic",5,1,1.2,0.758040358585156,"rnhA",1
"Function","GO:0004521","Endoribonuclease activity",5,1,1.2,0.758040358585156,"rnhA",1
"Function","GO:0008080","N-acetyltransferase activity",5,1,1.2,0.758040358585156,"argJ",1
"Function","GO:0008509","Anion transmembrane transporter activity",5,1,1.2,0.758040358585156,"RS05350",1
"Function","GO:0009982","Pseudouridine synthase activity",5,1,1.2,0.758040358585156,"truB",1
"Function","GO:0016725","Oxidoreductase activity, acting on CH or CH2 groups",5,1,1.2,0.758040358585156,"nrdF",1
"Function","GO:1901681","Sulfur compound binding",5,1,1.2,0.758040358585156,"RS03920",1
"Keyword","KW-0210","Decarboxylase",5,1,1.2,0.758040358585156,"lysA",1
"Keyword","KW-0239","DNA-directed DNA polymerase",5,1,1.2,0.758040358585156,"polA",1
"Keyword","KW-0482","Metalloprotease",5,1,1.2,0.758040358585156,"radC",1
"Keyword","KW-0488","Methylation",5,1,1.2,0.758040358585156,"prfA",1
"Keyword","KW-0546","Nucleotide metabolism",5,1,1.2,0.758040358585156,"ndk",1
"Keyword","KW-0630","Potassium",5,1,1.2,0.758040358585156,"mnmE",1
"Keyword","KW-0678","Repressor",5,1,1.2,0.758040358585156,"rsfS",1
"Keyword","KW-0831","Ubiquinone biosynthesis",5,1,1.2,0.758040358585156,"ubiB",1
"KEGG","bbk00760","Nicotinate and nicotinamide metabolism",5,1,1.2,0.758040358585156,"pncB",1
"InterPro","IPR000014","PAS domain",5,1,1.2,0.758040358585156,"RS01975",1
"InterPro","IPR002942","RNA-binding S4 domain",5,1,1.2,0.758040358585156,"RS01935",1
"InterPro","IPR005546","Autotransporter beta-domain",5,1,1.2,0.758040358585156,"RS05530",1
"InterPro","IPR006315","Outer membrane autotransporter barrel",5,1,1.2,0.758040358585156,"RS05530",1
"InterPro","IPR007197","Radical SAM",5,1,1.2,0.758040358585156,"miaB",1
"InterPro","IPR009006","Alanine racemase/group IV decarboxylase, C-terminal",5,1,1.2,0.758040358585156,"lysA",1
"InterPro","IPR011050","Pectin lyase fold/virulence factor",5,1,1.2,0.758040358585156,"RS05530",1
"InterPro","IPR012675","Beta-grasp domain superfamily",5,1,1.2,0.758040358585156,"RS00465",1
"InterPro","IPR015947","PUA-like superfamily",5,1,1.2,0.758040358585156,"RS00310",1
"InterPro","IPR020103","Pseudouridine synthase, catalytic domain superfamily",5,1,1.2,0.758040358585156,"truB",1
"InterPro","IPR029061","Thiamin diphosphate-binding fold",5,1,1.2,0.758040358585156,"tkt",1
"InterPro","IPR036709","Autotransporter beta-domain superfamily",5,1,1.2,0.758040358585156,"RS05530",1
"Pfam","PF00890","FAD binding domain",5,1,1.2,0.758040358585156,"sdhA",1
"Process","GO:0090305","Nucleic acid phosphodiester bond hydrolysis",29,6,7.2,0.75890460932378,"RS00965;RS03870;RS05940;addA;polA;rnhA",1
"Process","GO:1901607","Alpha-amino acid biosynthetic process",29,6,7.2,0.75890460932378,"RS03635;RS06280;RS06625;argJ;glyA;lysA",1
"Function","GO:0004518","Nuclease activity",29,6,7.2,0.75890460932378,"RS00965;RS03870;RS05940;addA;polA;rnhA",1
"Process","GO:0019222","Regulation of metabolic process",56,12,13.8,0.765331107787247,"RS00625;RS01230;RS04165;RS06615;dnaA;ettA;flbT;hflC;infA;infB;prfA;rsfS",1
"Function","GO:0046914","Transition metal ion binding",34,7,8.4,0.772554058560082,"RS00540;RS03800;RS06160;clpX;pepN;thiC;tsaD",1
"Process","GO:0009161","Ribonucleoside monophosphate metabolic process",25,5,6.2,0.777959509206413,"gmk;guaA;purL;purM;purQ",1
"KEGG","bbk00970","Aminoacyl-tRNA biosynthesis",25,5,6.2,0.777959509206413,"RS06620;gltX;glyS;hisS;ileS",1
"Process","GO:0055086","Nucleobase-containing small molecule metabolic process",79,17,19.5,0.788434596251391,"RS00555;RS00565;RS05600;accC;atpA;atpC;atpD;cmk;coaA;gmk;guaA;ndk;nrdF;pncB;purL;purM;purQ",1
"Process","GO:0009123","Nucleoside monophosphate metabolic process",30,6,7.4,0.788976299149675,"cmk;gmk;guaA;purL;purM;purQ",1
"Process","GO:0019438","Aromatic compound biosynthetic process",114,25,28.1,0.795144524749733,"RS00540;RS00555;RS00565;RS00625;RS01230;RS05600;accC;aroA;atpA;atpC;atpD;cmk;coaA;cobT;gmk;guaA;holA;ndk;nrdF;pncB;polA;purL;purM;purQ;thiC",1
"Process","GO:0032774","RNA biosynthetic process",16,3,3.9,0.796340653576532,"RS00540;RS00625;RS01230",1
"Function","GO:0050660","Flavin adenine dinucleotide binding",16,3,3.9,0.796340653576532,"RS02145;RS03985;sdhA",1
"Keyword","KW-0012","Acyltransferase",16,3,3.9,0.796340653576532,"argJ;gltA;tsaD",1
"KEGG","bbk01200","Carbon metabolism",44,9,10.9,0.796921941094223,"RS00465;accC;acnA;gltA;glyA;sdhA;sdhC;sdhD;tkt",1
"Process","GO:0000154","rRNA modification",11,2,2.7,0.797264463347927,"rlmH;rsmA",1
"Process","GO:0033866","Nucleoside bisphosphate biosynthetic process",11,2,2.7,0.797264463347927,"accC;coaA",1
"Process","GO:0034030","Ribonucleoside bisphosphate biosynthetic process",11,2,2.7,0.797264463347927,"accC;coaA",1
"Process","GO:0034033","Purine nucleoside bisphosphate biosynthetic process",11,2,2.7,0.797264463347927,"accC;coaA",1
"InterPro","IPR000515","ABC transporter type 1, transmembrane domain MetI-like",11,2,2.7,0.797264463347927,"RS05355;pstA",1
"InterPro","IPR014721","Ribosomal protein S5 domain 2-type fold, subgroup",11,2,2.7,0.797264463347927,"RS06540;parE",1
"InterPro","IPR035906","MetI-like superfamily",11,2,2.7,0.797264463347927,"RS05355;pstA",1
"InterPro","IPR045864","Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)",11,2,2.7,0.797264463347927,"RS03865;hisS",1
"Pfam","PF00528","Binding-protein-dependent transport system inner membrane component",11,2,2.7,0.797264463347927,"RS05355;pstA",1
"Process","GO:0051171","Regulation of nitrogen compound metabolic process",53,11,13.1,0.797306932293854,"RS00625;RS01230;RS04165;RS06615;dnaA;ettA;hflC;infA;infB;prfA;rsfS",1
"Process","GO:0080090","Regulation of primary metabolic process",53,11,13.1,0.797306932293854,"RS00625;RS01230;RS04165;RS06615;dnaA;ettA;hflC;infA;infB;prfA;rsfS",1
"Process","GO:0008652","Cellular amino acid biosynthetic process",35,7,8.6,0.799616799529239,"RS03635;RS06280;RS06625;argJ;aroA;glyA;lysA",1
"Function","GO:0008233","Peptidase activity",35,7,8.6,0.799616799529239,"RS02025;RS02770;RS03520;RS03920;RS06160;pepN;radC",1
"Keyword","KW-0418","Kinase",35,7,8.6,0.799616799529239,"RS01225;cmk;coaA;gmk;lpxK;ndk;ubiB",1
"Process","GO:0006760","Folic acid-containing compound metabolic process",6,1,1.5,0.817985314791537,"glyA",1
"Process","GO:0009147","Pyrimidine nucleoside triphosphate metabolic process",6,1,1.5,0.817985314791537,"ndk",1
"Process","GO:0009423","Chorismate biosynthetic process",6,1,1.5,0.817985314791537,"aroA",1
"Process","GO:0015698","Inorganic anion transport",6,1,1.5,0.817985314791537,"pstA",1
"Process","GO:0033013","Tetrapyrrole metabolic process",6,1,1.5,0.817985314791537,"cobT",1
"Process","GO:0033014","Tetrapyrrole biosynthetic process",6,1,1.5,0.817985314791537,"cobT",1
"Process","GO:0042558","Pteridine-containing compound metabolic process",6,1,1.5,0.817985314791537,"glyA",1
"Process","GO:0046417","Chorismate metabolic process",6,1,1.5,0.817985314791537,"aroA",1
"Process","GO:0090501","RNA phosphodiester bond hydrolysis",6,1,1.5,0.817985314791537,"rnhA",1
"Function","GO:0004540","Ribonuclease activity",6,1,1.5,0.817985314791537,"rnhA",1
"Function","GO:0008170","N-methyltransferase activity",6,1,1.5,0.817985314791537,"rsmA",1
"Function","GO:0010181","FMN binding",6,1,1.5,0.817985314791537,"nuoF",1
"Function","GO:0016407","Acetyltransferase activity",6,1,1.5,0.817985314791537,"argJ",1
"Function","GO:0016742","Hydroxymethyl-, formyl- and related transferase activity",6,1,1.5,0.817985314791537,"glyA",1
"Function","GO:0016783","Sulfurtransferase activity",6,1,1.5,0.817985314791537,"RS03970",1
"Function","GO:0020037","Heme binding",6,1,1.5,0.817985314791537,"sdhD",1
"Function","GO:0046906","Tetrapyrrole binding",6,1,1.5,0.817985314791537,"sdhD",1
"Keyword","KW-0057","Aromatic amino acid biosynthesis",6,1,1.5,0.817985314791537,"aroA",1
"Keyword","KW-0349","Heme",6,1,1.5,0.817985314791537,"sdhC",1
"Keyword","KW-0720","Serine protease",6,1,1.5,0.817985314791537,"RS03520",1
"KEGG","bbk00130","Ubiquinone and other terpenoid-quinone biosynthesis",6,1,1.5,0.817985314791537,"RS03985",1
"KEGG","bbk01503","Cationic antimicrobial peptide (CAMP) resistance",6,1,1.5,0.817985314791537,"RS03320",1
"InterPro","IPR006195","Aminoacyl-tRNA synthetase, class II",6,1,1.5,0.817985314791537,"hisS",1
"InterPro","IPR009080","Aminoacyl-tRNA synthetase, class Ia, anticodon-binding",6,1,1.5,0.817985314791537,"ileS",1
"InterPro","IPR012332","Autotransporter, pectate lyase C-like domain superfamily",6,1,1.5,0.817985314791537,"RS05530",1
"InterPro","IPR016185","Pre-ATP-grasp domain superfamily",6,1,1.5,0.817985314791537,"accC",1
"InterPro","IPR029066","PLP-binding barrel",6,1,1.5,0.817985314791537,"lysA",1
"InterPro","IPR031157","Tr-type G domain, conserved site",6,1,1.5,0.817985314791537,"RS06615",1
"InterPro","IPR036986","RNA-binding S4 domain superfamily",6,1,1.5,0.817985314791537,"RS01935",1
"Function","GO:0140097","Catalytic activity, acting on DNA",45,9,11.1,0.819423251345922,"RS00540;RS00915;RS04505;addA;holA;parE;polA;recG;topA",1
"Keyword","KW-0732","Signal",68,14,16.8,0.82840687083843,"RS02210;RS02440;RS02685;RS02770;RS03320;RS03520;RS04340;RS04360;RS05530;RS05570;RS05920;RS05960;flgH;fliP",1
